Line,H.Off.Plus,H.Def.Plus,A.Off.Plus,A.Def.Plus,H.Off.Minus,H.Def.Minus,A.Off.Minus,A.Def.Minus
-14.5,16,13,6,5,5,6,13,10
-14,15,13,4,3,6,5,25,17
-13.5,25,22,2,8,3,3,33,23
-13,24,13,4,6,2,4,17,16
-12.5,7,11,3,4,4,5,13,9
-12,12,9,2,2,5,3,13,10
-11.5,9,15,6,3,7,11,19,16
-11,17,10,4,8,6,10,23,14
-10.5,28,28,12,12,17,15,37,18
-10,40,38,17,19,23,24,46,40
-9.5,33,36,18,19,17,23,40,38
-9,41,24,27,19,20,26,49,24
-8.5,23,15,12,17,18,15,25,13
-8,19,27,22,22,24,17,28,28
-7.5,53,29,38,35,32,36,53,43
-7,92,94,73,87,88,66,75,97
-6.5,57,45,52,61,56,69,54,60
-6,50,53,50,50,59,57,53,64
-5.5,49,39,46,43,20,33,30,36
-5,31,36,32,43,38,35,25,32
-4.5,41,40,47,43,42,43,28,32
-4,41,45,62,58,62,54,48,45
-3.5,72,85,100,79,106,101,62,84
-3,154,189,245,238,225,211,135,171
-2.5,51,49,73,80,74,79,51,46
-2,23,34,39,35,47,42,30,29
-1.5,33,26,42,50,45,41,24,35
-1,23,46,62,51,68,73,42,45
0,6,12,14,13,12,12,8,10